,RPneg_BATCirc_391,RPneg_BATCirc_403,RPneg_BATCirc_453,RPneg_BATCirc_395,RPneg_BATCirc_405,RPneg_BATCirc_415,RPneg_BATCirc_463,RPneg_BATCirc_431,RPneg_BATCirc_435,RPneg_BATCirc_439,RPneg_BATCirc_411,RPneg_BATCirc_425,RPneg_BATCirc_445,RPneg_BATCirc_383,RPneg_BATCirc_407,RPneg_BATCirc_417,RPneg_BATCirc_381,RPneg_BATCirc_393,RPneg_BATCirc_419,RPneg_BATCirc_459,RPneg_BATCirc_413,RPneg_BATCirc_447,RPneg_BATCirc_avg,RPneg_BATCirc_427,RPneg_BATCirc_433,RPneg_BATCirc_437
Label,_F_M,_F_M,_F_M,_F_N,_F_N,_F_N,_F_N,_N_M,_N_M,_N_M,_N_N,_N_N,_N_N,p_F_M,p_F_M,p_F_M,p_F_N,p_F_N,p_F_N,p_F_N,p_N_M,p_N_M,p_N_M,p_N_N,p_N_N,p_N_N
n_153/158.0812mz/4.95min 2-Methylbutyrylglycine,-0.2759443,0.28017598,0.12158127,-0.60935616,-1.09044851,-0.68060124,-0.59619991,-0.49676377,2.42160546,-0.50143469,-0.67731872,0.52616651,-0.08404563,-0.84991757,-0.45699213,1.1147317,0.08077168,-0.58023851,0.29611839,-0.7261166,-0.52436898,-0.19805896,-0.35760811,-0.72247528,1.68865362,2.89808444
n_276/175.0236mz/1.19min Ascorbic acid,-1.6819088,-2.1916203,-0.8930661,-0.9440308,-0.2121506,-1.4599898,-0.4539646,0.7370834,-0.7277177,0.5477566,0.9149715,0.1915337,1.1146029,0.937013,0.3699403,-0.5089762,0.2240442,0.3987009,0.9603568,0.7961989,0.9907048,-1.9296272,0.5550239,0.6182618,0.9152142,0.7316453
n_11/188.0550mz/1.57min Glutarylglycine,0.2777437,-0.1002703,0.24307,0.8056047,0.1452413,0.0883518,-0.6500427,-0.5039624,0.1415931,1.7103522,0.6109222,1.7542396,0.8275662,-0.7153294,-0.8753848,0.4347658,-1.3189989,-2.4412017,-1.7776834,0.3094347,-0.4312896,-0.6352405,-0.529837,1.4805518,0.2054353,0.9443687
n_46/192.0651mz/5.58min Phenylacetylglycine,-0.28114119,0.19936442,-1.06232647,0.02437251,-0.40627067,-0.08945418,-0.2022713,-1.00374475,2.02815506,-0.45406014,0.4076276,1.04481188,0.7050657,-0.96836085,-0.6414711,0.41737941,-0.76499186,-0.77278574,-0.56512882,-0.69781729,-0.47156375,-0.64888397,-0.55791573,-0.06386879,1.99819187,2.82708815
n_31/362.0492mz/1.21min Guanosine monophosphate,-0.49349781,-1.37870299,-0.29707623,-0.87778809,-2.88225097,0.55034211,0.47882349,-0.61776602,-0.60436458,-0.46274153,1.39238627,-0.99399067,0.04152246,0.61213421,-0.25373922,0.86521869,0.02176175,0.32169769,0.59391032,0.64683093,0.92377014,1.96576351,1.43941775,-0.29487901,-0.55559303,-0.14118917
n_347/814.6055mz/4.76min,0.95186315,0.87024699,0.45944342,1.31288916,1.17457413,1.07100935,0.84290349,0.32996513,-0.08317755,0.7420591,1.10717543,0.92581221,0.71708849,-0.0685992,-0.51342227,-0.64570159,-0.42002067,-2.52479547,-0.09806829,-0.31556449,-1.44628692,-1.3063302,-1.39001313,-0.64409982,0.1313522,-1.18030266
n_136/178.0508mz/5.31min Hippuric acid,-0.78839628,-0.51321692,0.30177775,-0.98724979,0.14187015,-0.86195345,0.32831862,0.22179955,1.28782689,0.32591617,-0.87761135,1.67790842,-0.66426,0.06412279,-0.81399073,0.10565185,0.07431244,0.2337675,-0.29642742,-0.97070641,-0.98433979,-0.80092925,-0.89601505,-0.01364143,1.61605807,3.08940765
n_357/161.0439mz/2.02min,1.44161361,-0.43773181,0.28836162,0.61106554,-0.91058924,0.04601242,-1.66823518,-1.19617689,-0.18815225,-0.65450271,-1.8204788,0.04232125,-1.56599398,0.28174439,0.95422238,0.95146114,-0.0110044,0.04394978,-0.17128449,0.67135472,0.86523548,-0.95438137,0.11171011,-0.1810951,1.03206391,2.41850988
n_16/167.0201mz/1.30min Uric acid,0.24015899,-0.1522768,-0.11897069,-0.01973331,0.46118191,-0.32371977,-0.07658191,-1.17088206,-1.2991419,-2.05226151,-1.11265671,-1.29704753,-0.84045204,0.80197406,1.55992851,2.03080551,1.01055107,1.38099033,0.72327483,1.12741447,0.62243932,-1.03568726,-0.09647009,-0.34750917,-0.29965892,0.28433066
n_279/466.1205mz/0.95min 3-3;4-dimethoxyphenyl-N-2-3;4-dimethoxyphenyl-2-sulfooxyethylprop-2-enimidic acid,2.88853692,0.50972864,-0.6798602,-1.75756915,-0.10187705,-1.26108374,-0.12057034,-0.31830295,0.08562688,-0.25956464,-0.95528024,-1.90641054,-0.61284545,0.34758172,1.13874611,0.95014702,0.31297969,0.09768565,-0.08125142,0.74310539,0.12862719,0.33611517,0.22565991,-1.18232985,0.24503798,1.22736732
n_350/308.0964mz/0.97min N-Acetylneuraminic acid,-0.34237517,-0.48108968,0.41288503,0.52523066,0.15012286,-0.03508253,0.03033077,-0.26611938,-0.79473757,-0.1050513,0.58971708,-0.85759337,-1.0293822,0.06000411,-1.95799375,0.92316537,-0.05437031,0.65068609,-0.39856409,1.27647105,2.42996667,-2.14574289,0.60501565,1.61432561,0.15638572,-0.95620442
n_154/187.1067mz/4.22min,1.97038862,1.3974646,0.62664599,-0.10820504,1.51864585,0.0338095,1.20645218,0.97502176,1.1320368,1.21616181,-0.31103123,-0.47397495,0.30773078,-0.31947856,-0.02382386,-0.56748254,-0.02445804,-2.0922929,-0.60022444,-0.57039667,-1.20528253,-0.27065181,-0.66352394,-0.96756062,-1.30486669,-0.88110405
n_242/444.0274mz/1.07min,0.66766457,-0.33676732,0.52727795,1.25113628,-0.2071812,1.53850691,0.8884843,-1.3699009,-0.40389554,-1.02981601,1.58958055,1.08447777,1.0568657,-0.61237396,-0.2833496,-1.17674808,0.02688007,0.05175415,0.07951525,-0.26781567,-1.41409134,-1.27711644,-1.3516894,1.05068913,1.18196002,-1.26404719
n_284/280.0846mz/5.29min 4-Hydroxyphenylacetylglutamic acid,-0.29210725,-0.65249085,-0.267585,-0.34591589,-0.38116096,-0.34012328,-0.17905939,-2.51753821,-1.38265965,-0.20382803,-0.10260389,-0.04511973,-0.39946996,2.30755049,1.14761467,-0.81329806,0.99130994,1.0281579,1.52427778,0.79614847,-0.46063505,0.57594482,0.11066734,-1.08627897,-0.21879681,1.20699955
n_231/181.0493mz/4.78min Homovanillic acid,0.05519967,-0.91849172,-0.12433231,-1.35496321,0.42027446,-1.51089957,-1.45283423,0.04832795,1.29458646,-0.56239236,-0.61988644,-0.82853225,-2.02951378,1.34317273,1.65804271,0.6831312,0.1523791,-0.00241679,0.93306096,0.18124208,0.49589299,0.64269225,0.56117331,-0.94819648,0.25075671,1.63252658
n_122/188.9851mz/4.51min Pyrocatechol sulfate,0.55733204,0.0205744,-0.23383468,-0.6642554,-0.4550335,-0.44931102,-0.37360942,0.27649866,0.57499754,0.33432229,-2.01173295,0.45546284,-0.80712394,0.04965602,0.19134994,-0.42474535,-0.49393648,-0.45128574,-0.02218761,-0.23201399,0.26420738,0.30381974,0.27939044,-1.8442566,2.04582583,3.10988959
