"","RPpos_933","RPpos_957","eWAT_RPneg_963","RPpos_975","RPpos_981","RPpos_937","RPpos_943","RPpos_947","RPpos_959","RPpos_967","RPpos_979","RPpos_927","RPpos_969","RPpos_973","RPpos_983","RPpos_929","RPpos_965","RPpos_971","RPpos_977","RPpos_985"
"Label","KO_day","KO_day","KO_day","KO_day","KO_day","KO_night","KO_night","KO_night","KO_night","KO_night","KO_night","WT_day","WT_day","WT_day","WT_day","WT_night","WT_night","WT_night","WT_night","WT_night"
"Dibutylhydroxytoluene_221.186_0.988_Rppos"," 1.1235774"," 0.7870153"," 0.6023611","-0.4850830"," 0.7515039"," 0.5203536","-1.3430004"," 0.9802423","-1.1724389"," 0.2914731","-0.7613266","-0.9927060","-2.2193667","-0.1001444"," 1.1943215","-0.1716239"," 0.1463627"," 1.3993571"," 0.5529633","-1.1038414"
"_262.1646_2.6914_Rppos"," 0.571327995"," 0.019586881"," 0.048980668","-1.250251274"," 0.781721959"," 0.116364319"," 0.005350858"," 1.028915414"," 0.270181598"," 0.509879411","-0.711444608","-1.323715536","-1.794775656","-1.786408833"," 1.909533420","-0.367789695","-0.052688557"," 1.273480122"," 0.980789114","-0.229037600"
"_528.2924_4.9778_Rppos","-0.79418984","-1.48345377"," 0.87818080","-0.95109834","-1.27019326"," 0.09655563"," 1.77393111"," 0.17234922"," 1.01544758","-0.20854806"," 0.83908814"," 0.20747695"," 0.40397977"," 0.03853675","-0.65861829"," 0.08030035","-0.68127370","-1.59587512"," 0.07579316"," 2.06161093"
"_592.3207_5.0064_Rppos","-0.801765544","-1.424008586"," 1.697084162","-1.313958880","-1.340180041"," 0.213295292"," 1.663547294"," 0.167882774"," 1.113684485","-0.508227834"," 0.504367108"," 0.353666670"," 0.258779484"," 0.002164517","-0.570310823","-0.251195771","-0.922494541","-0.532007625","-0.201756309"," 1.891434167"
"_334.0443_1.5009_Rppos","-0.205941546","-0.086207063","-0.732587749","-0.545087753","-0.260628859","-2.080980878","-0.008971658","-1.447916996","-0.778746947","-0.563800314"," 1.167186858"," 1.735193808"," 0.708542466"," 0.906098219"," 1.435032596"," 0.250479144","-0.557783958"," 1.239219392","-0.799635527"," 0.626536765"
"_362.9969_1.0681_Rppos"," 0.43033486"," 0.36979144","-0.97228784","-1.33216676"," 0.52628549","-0.77438591"," 0.09880362","-0.01070314"," 0.21986702"," 1.29471441","-0.04428850"," 1.87063403"," 1.26296542","-0.84441591"," 1.32242964"," 0.27446145","-1.62744296"," 0.02831331","-1.70747327","-0.38543640"
"_450.0556_1.059_Rppos"," 0.39619010"," 0.52890717"," 0.29176647","-0.25364192"," 0.83756181","-1.64860769","-0.07074252","-0.26889380"," 0.34713455","-0.70659919","-1.72153607"," 1.55150220"," 0.93343197","-1.72791996"," 1.88408512"," 0.51799224","-1.09490649","-0.07604416"," 0.07898436"," 0.20133581"
"_386.0282_1.1318_Rppos"," 0.399094812"," 1.363023441","-1.094143791","-0.024619887"," 2.053042547","-1.461077110","-1.218425598"," 0.006185604"," 0.609835434"," 0.021422698","-0.641568540"," 1.704551953"," 0.776207585","-0.741953369"," 0.560372837"," 0.071328381","-1.546507958","-0.278359694","-0.565699645"," 0.007290300"
"Amidosulfuron_370.0525_1.1186_Rppos","-0.16703456"," 0.79143860"," 0.03772671"," 0.08400992"," 0.92104303","-1.63305952","-0.81404647","-0.04682584"," 0.20934087","-1.67438807","-1.32977205"," 1.95444276"," 1.44436545","-1.36420851"," 0.74699587"," 0.53767268","-0.67350003"," 0.11122347"," 0.22304328"," 0.64153241"
"_267.058_1.6134_Rppos"," 1.40548593","-0.43258428"," 0.38664044","-0.06687064","-0.54325252"," 1.47927416"," 0.58538234","-0.25498631","-1.23345276"," 2.02229029"," 0.39874041"," 0.25869876","-1.09311879","-0.69192057"," 0.41882332","-0.05974439","-1.73811235"," 0.78977730","-0.06458709","-1.56648324"
"_604.1047_1.1025_Rppos"," 0.10377498","-0.47089750"," 0.33548201","-0.24510405","-2.46116242"," 0.81736559"," 1.72875659"," 0.88995690"," 0.65213706"," 1.49263044"," 1.32934074","-1.12373413","-0.60254039","-0.29975536","-1.12500826","-0.10962320"," 0.23353357","-0.05189375","-0.64730621","-0.44595259"
"_667.0778_1.5003_Rppos"," 0.49111801","-0.04400395","-1.66598144","-0.04188485","-0.18235068","-1.83487238"," 0.32611031","-1.42486978","-0.05125793","-0.24295436"," 0.68078944"," 1.91698591"," 1.08672229","-0.25247342"," 1.43366795"," 0.12819647","-0.88654581"," 1.17957403","-0.83686602"," 0.22089622"
"_697.1027_1.2163_Rppos"," 0.54752404"," 0.98290142"," 0.56409272","-0.24212720"," 2.66061041","-0.01801979"," 0.38324944","-0.09786986","-0.14373102","-0.04921866","-1.58936984"," 0.61685126"," 0.25381918"," 0.14143813"," 0.53217927","-1.92632697","-0.12795306","-1.03021628","-0.03133284","-1.42650035"
"Cer[NS] d41:1_637.1226_1.5073_Rppos","-0.1373683"," 0.4762535","-1.7365089"," 0.3591208","-0.1623130","-2.0129090"," 0.6872685","-0.5263556","-0.2264078"," 0.5336994","-0.8686694"," 1.6318100"," 1.9863123"," 0.3790218"," 0.5587201"," 0.8857758","-1.2219375","-0.2845459"," 0.1692061","-0.4901730"
"2`,6`-difluoro-5-methyl[1,2,4]triazolo[1,5-a]pyrimidine-2-sulfoanilide_326.0585_1.5047_Rppos","-0.45086411","-1.48666801","-1.38442569"," 0.06405972"," 0.02690375","-1.95023933"," 0.30909466","-0.90548412","-0.04293385"," 0.20176973","-0.35113732"," 1.71929413"," 1.72128464"," 1.33205219"," 0.83148866"," 0.95967505","-0.64197951"," 0.02752748","-0.16540567"," 0.18598759"
"_461.2102_3.7862_Rppos"," 0.73239898"," 0.79020728"," 0.48540654","-0.06222452"," 1.95419580"," 0.93372023","-0.74517037","-0.30359592"," 0.70441157"," 0.05590795","-1.79778554"," 1.11180741"," 0.61926859","-2.25593281"," 0.01626286","-1.11898411","-0.27629180","-0.69131186","-0.03692134","-0.11536895"
"_635.1398_1.5047_Rppos","-0.045483215"," 0.473115738","-1.558176697"," 0.144213727","-0.367024930","-1.844840249","-0.309538546","-0.858395144","-0.419996510"," 0.054545562","-0.894008850"," 2.001199640"," 1.657025161"," 0.397173703"," 1.262572975"," 0.669900933","-1.107667407"," 0.881232519","-0.145689634"," 0.009841223"
"Fenofibric acid_319.0648_1.4939_Rppos","-0.58861219"," 0.46283380","-1.15816424"," 0.18915530","-0.26922455","-2.23672566"," 0.19237445","-1.51426620","-0.60313369"," 0.03998062","-0.13704488"," 0.73629464"," 1.50382223"," 1.17897029"," 1.53790220"," 1.11612251","-0.48751274"," 0.78516939","-0.78280460"," 0.03486334"
"_712.1128_1.2157_Rppos"," 0.80655094"," 1.27159852"," 0.44470387","-0.35495369"," 2.29432262"," 0.04551682","-0.06587049"," 0.33781304"," 0.30915309","-0.34849999","-1.99737615"," 1.34261164"," 0.33191093","-1.12181897"," 0.34164437","-1.16596678","-0.53279312","-1.20520386","-0.07940291","-0.65393989"
"_438.9802_1.4215_Rppos"," 1.46283696"," 1.21854685"," 0.37898637","-0.01793608"," 1.16818809"," 1.04489373"," 0.40192691"," 0.40328034"," 0.40062647"," 1.09367236","-0.12722661","-0.32982184","-0.83168376","-2.54187700","-0.18044015","-0.79625302","-0.74186044","-0.22227055","-1.58435962","-0.19922901"
"_347.0255_1.0698_Rppos","-0.41272409"," 0.01522428"," 0.08603830","-0.89341411"," 0.14770666","-2.40880174","-0.12832149","-0.38856254"," 0.01746376","-1.32230827","-0.81597578"," 1.88477606"," 1.77622719"," 0.32109718"," 1.38059752"," 0.68570054","-0.48755444"," 0.27835960","-0.06870811"," 0.33317949"
"NAD_msDial_664.1154_1.23_Rppos","-0.43461988","-0.58675367","-0.05908155","-0.49771901"," 0.13608302","-1.15726985","-0.58349979","-0.86132650","-0.70892516","-0.79032039","-1.46478313"," 1.98330180"," 0.45567932","-0.40558045"," 2.34629758"," 0.99873656","-0.27954138"," 0.13002513"," 0.79887168"," 0.98042568"
"_370.1067_1.433_Rppos","-0.54601134","-1.05303913"," 0.48614611","-2.04554617","-0.94683574"," 0.62955951"," 1.69274398"," 0.34511241"," 1.69480597","-0.01519963"," 0.69908443","-0.12350313"," 0.24876971"," 0.97261189","-0.84620386","-0.09269715"," 0.63894144","-1.82047828","-0.13268572"," 0.21442471"
"_727.1215_1.2154_Rppos"," 0.836520416"," 1.224553063"," 0.391647606","-0.207946033"," 1.213543955","-0.007180491","-0.504796711"," 0.611388494"," 0.646660540","-0.437987707","-1.861906386"," 1.624920588"," 0.356438043","-2.512143911"," 0.235337224","-0.169342310","-0.706065217","-0.851594946","-0.069433322"," 0.187387105"
"_263.1712_1.2419_Rppos","-0.71311626","-0.28380170","-0.33482451","-0.83934759"," 0.24789467","-0.52271122"," 1.23522384","-1.96289552","-0.43931320"," 0.06605874","-0.21529500","-0.77233434","-0.37481927","-1.13116624"," 2.30532134"," 0.47360256"," 0.07464854"," 0.70959062"," 0.73650217"," 1.74078236"
"_355.0742_1.4941_Rppos"," 0.82986359"," 1.06226307","-0.28125217"," 0.38274157","-0.03257513","-0.14768319"," 0.25156311","-0.16988570"," 0.76232665"," 0.48249432","-0.63744287"," 1.19684610"," 0.55078925","-0.72922427"," 0.50657803"," 0.41675265","-1.03204793"," 0.44204214","-0.47167120","-3.38247802"
"Uridine_msDial_245.077_1.6139_Rppos"," 1.27209244","-0.53050644","-0.13928439","-0.81925620"," 0.11656447"," 1.03162052"," 1.94449876","-0.31506179"," 0.18809768"," 1.52836187","-0.45486502"," 1.04200149","-0.17549424","-0.60622462","-0.40180676","-1.04787591","-2.13597222"," 0.58159979"," 0.02981184","-1.10830130"
